Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,TILT,GPIO,Digital,In,n/a,Yes,No,NORMAL
2,PA01,WATER_LEVEL,GPIO,Digital,In,n/a,Yes,No,NORMAL
3,PC00,,ADC1_AIN10,Analog,High Impedance,n/a,,,NORMAL
4,PC01,,ADC1_AIN11,Analog,High Impedance,n/a,,,NORMAL
5,PC02,,ADC1_AIN4,Analog,High Impedance,n/a,,,NORMAL
6,PC03,,ADC1_AIN5,Analog,High Impedance,n/a,,,NORMAL
7,PA02,,Available,,,,,,NORMAL
8,PA03,,Available,,,,,,NORMAL
9,PB04,,Available,,,,,,NORMAL
10,PB05,,Available,,,,,,NORMAL
13,PB06,,Available,,,,,,NORMAL
14,PB07,,Available,,,,,,NORMAL
15,PB08,,SERCOM4_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
16,PB09,,SERCOM4_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
17,PA04,,Available,,,,,,NORMAL
18,PA05,,Available,,,,,,NORMAL
19,PA06,BLUE1,GPIO,Digital,Out,Low,,,NORMAL
20,PA07,GREEN1,GPIO,Digital,Out,Low,,,NORMAL
21,PC05,RGB1_AVAILABLITY,EIC_EXTINT5,Digital,High Impedance,n/a,No,Yes,NORMAL
22,PC06,RGB2_AVAILABLITY,EIC_EXTINT6,Digital,High Impedance,n/a,No,Yes,NORMAL
23,PC07,MAINS_SWITCH,GPIO,Digital,In,n/a,No,Yes,NORMAL
26,PA08,RED1,GPIO,Digital,Out,Low,,,NORMAL
27,PA09,,ADC0_AIN9/X7/Y7,Analog,High Impedance,n/a,,,NORMAL
28,PA10,,Available,,,,,,NORMAL
29,PA11,,Available,,,,,,NORMAL
32,PB10,BLUE2,GPIO,Digital,Out,High,,,NORMAL
33,PB11,GREEN2,GPIO,Digital,Out,Low,,,NORMAL
34,PB12,,CAN1_TX,Digital,High Impedance,n/a,No,No,NORMAL
35,PB13,,CAN1_RX,Digital,High Impedance,n/a,No,No,NORMAL
36,PB14,RED2,GPIO,Digital,Out,Low,,,NORMAL
37,PB15,,Available,,,,,,NORMAL
40,PC10,,Available,,,,,,NORMAL
41,PC11,,Available,,,,,,NORMAL
42,PC12,GFCI_INT,EIC_EXTINT12,Digital,High Impedance,n/a,No,No,NORMAL
43,PC13,,Available,,,,,,NORMAL
44,PC14,,Available,,,,,,NORMAL
45,PC15,,Available,,,,,,NORMAL
46,PA12,,SERCOM2_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
47,PA13,,SERCOM2_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
48,PA14,,Available,,,,,,NORMAL
49,PA15,,Available,,,,,,NORMAL
52,PA16,,SERCOM3_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
53,PA17,,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
54,PA18,ENABLE_EC_METER,GPIO,Digital,Out,Low,,,NORMAL
55,PA19,ENABLE_HMI,GPIO,Digital,Out,Low,,,NORMAL
56,PC16,,SERCOM6_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
57,PC17,,SERCOM6_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
58,PC18,POWER_BANK_RELAY,GPIO,Digital,Out,High,,,NORMAL
59,PC19,DC1_Contactor,GPIO,Digital,Out,High,,,NORMAL
60,PC20,DC2_Contactor,GPIO,Digital,Out,High,,,NORMAL
61,PC21,MERGER_Contactor,GPIO,Digital,Out,High,,,NORMAL
64,PB16,AC_Contactor_Relay,GPIO,Digital,Out,High,,,NORMAL
65,PB17,EMERGENCY_BUT,EIC_EXTINT1,Digital,High Impedance,n/a,No,Yes,NORMAL
66,PB18,SPD_RESPONSE,EIC_EXTINT2,Digital,High Impedance,n/a,No,Yes,NORMAL
67,PB19,,Available,,,,,,NORMAL
68,PB20,,SERCOM7_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
69,PB21,,SERCOM7_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
70,PA20,,Available,,,,,,NORMAL
71,PA21,,Available,,,,,,NORMAL
72,PA22,,Available,,,,,,NORMAL
73,PA23,,Available,,,,,,NORMAL
74,PA24,,CAN0_TX,Digital,High Impedance,n/a,No,No,NORMAL
75,PA25,,CAN0_RX,Digital,High Impedance,n/a,No,No,NORMAL
78,PB22,,TC7_WO0,Digital,High Impedance,n/a,No,No,NORMAL
79,PB23,IMD1_RESPONSE,EIC_EXTINT7,Digital,High Impedance,n/a,Yes,No,NORMAL
80,PB24,LIMIT_SWITCH,GPIO,Digital,In,n/a,No,Yes,NORMAL
81,PB25,SMOKE,GPIO,Digital,In,n/a,No,Yes,NORMAL
82,PC24,IMD2_RESPONSE,EIC_EXTINT8,Digital,High Impedance,n/a,Yes,No,NORMAL
83,PC25,,Available,,,,,,NORMAL
84,PC26,,Available,,,,,,NORMAL
85,PC27,,Available,,,,,,NORMAL
86,PC28,,Available,,,,,,NORMAL
87,PA27,,Available,,,,,,NORMAL
93,PA30,,Available,,,,,,NORMAL
94,PA31,,Available,,,,,,NORMAL
95,PB30,,Available,,,,,,NORMAL
96,PB31,BUZZER,GPIO,Digital,Out,Low,,,NORMAL
97,PB00,,Available,,,,,,NORMAL
98,PB01,,Available,,,,,,NORMAL
99,PB02,,SERCOM5_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
100,PB03,,SERCOM5_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
